,SRR1803146,SRR1803147,SRR1803148,SRR1803149,SRR1803150,SRR1803151,SRR1803152,SRR1803153,SRR1803154,SRR1803155,SRR1803156,SRR1803157,SRR1803158,SRR1803159,SRR1803160,SRR1803161,SRR1803162,SRR1803163,SRR1803164,SRR1803165,SRR1803166,SRR1803167,SRR1803168,SRR1803169,SRR1803170,SRR1803171,SRR1803172,SRR1803173,SRR1803174,SRR1803175,SRR1803176,SRR1803177,SRR1803178,SRR1803179,SRR1803180,SRR1803181,SRR1803182,SRR1803183,SRR1803184,SRR1803185,SRR1803186,SRR1803187,SRR1803188,SRR1803189,SRR1803190,SRR1803191,SRR1803192,SRR1803193,SRR1803194,SRR1803195
total_reads,153324075,159425486,151278196,80965178,98011215,152967358,121270426,166536142,142686297,225228521,124064324,103804301,98126929,102081758,123051889,140170765,120339756,123597623,126802019,142945077,191637797,206690852,192043753,224349896,116792850,140156299,180147807,118605985,159128523,183144672,121684635,149423011,215972689,134671161,161592574,138075895,160891291,121795163,180235842,169421763,97598430,71186914,181748943,183726008,155542963,164922470,72320910,7500448,17660537,10658437
clipped_reads,116790875,115107033,124070179,21365057,35405713,124904337,101502026,141224274,89699952,182366824,89681043,69934491,70029662,58628673,90459877,87889946,81447950,91646139,79906997,111654554,123806329,116484832,155640588,133639895,43300913,124930671,58610399,76301984,120526393,132352008,97449607,83973315,129821292,93034607,106503422,100965273,128159500,86319274,122655408,108487750,37722839,21998718,145603906,136285728,124541682,112739276,27396876,4968928,10759780,8721203
clipped_reads_%,76.17,72.2,82.01,26.39,36.12,81.65,83.7,84.8,62.87,80.97,72.29,67.37,71.37,57.43,73.51,62.7,67.68,74.15,63.02,78.11,64.6,56.36,81.04,59.57,37.07,89.14,32.53,64.33,75.74,72.27,80.08,56.2,60.11,69.08,65.91,73.12,79.66,70.87,68.05,64.03,38.65,30.9,80.11,74.18,80.07,68.36,37.88,66.25,60.93,81.82
filtered_out,85421589,85237524,90047279,16835286,25761049,81597424,75084277,106652812,61749950,112168297,61923056,52185339,48949330,43419000,66336028,56679130,59751864,61648786,58841392,85209936,83192318,82140148,137190617,114003629,30746948,107880752,46816169,52505682,74288440,79198461,69185397,18377974,92310000,67890702,77800238,76528046,83833430,52452138,108138780,89283536,27835187,14400795,103544612,95091256,81346378,72463882,19392463,3324001,8278083,5681794
filtered_out_%,73.14,74.05,72.58,78.8,72.76,65.33,73.97,75.52,68.84,61.51,69.05,74.62,69.9,74.06,73.33,64.49,73.36,67.27,73.64,76.32,67.2,70.52,88.15,85.31,71.01,86.35,79.88,68.81,61.64,59.84,71.0,21.89,71.11,72.97,73.05,75.8,65.41,60.77,88.16,82.3,73.79,65.46,71.11,69.77,65.32,64.28,70.78,66.9,76.94,65.15
filter_kept,31369286,29869509,34022900,4529771,9644664,43306913,26417749,34571462,27950002,70198527,27757987,17749152,21080332,15209673,24123849,31210816,21696086,29997353,21065605,26444618,40614011,34344684,18449971,19636266,12553965,17049919,11794230,23796302,46237953,53153547,28264210,65595341,37511292,25143905,28703184,24437227,44326070,33867136,14516628,19204214,9887652,7597923,42059294,41194472,43195304,40275394,8004413,1644927,2481697,3039409
filter_kept_%,26.86,25.95,27.42,21.2,27.24,34.67,26.03,24.48,31.16,38.49,30.95,25.38,30.1,25.94,26.67,35.51,26.64,32.73,26.36,23.68,32.8,29.48,11.85,14.69,28.99,13.65,20.12,31.19,38.36,40.16,29.0,78.11,28.89,27.03,26.95,24.2,34.59,39.23,11.84,17.7,26.21,34.54,28.89,30.23,34.68,35.72,29.22,33.1,23.06,34.85
transcriptome_aligned_once,14551094,13486422,11422232,1404245,2602852,17150266,14226850,12853800,15338647,44450580,15594263,9583488,13381231,7797444,12409027,5894085,7600711,11971644,6333613,6674799,14640943,17009437,6623407,7116142,6175243,5704767,3886167,12367795,26232519,30474082,16209090,5112584,19141609,13998245,9341277,13138511,22390393,11794604,5394675,6177510,4446862,3958018,19366059,18426550,15074244,16343837,3478989,642270,1190302,1008405
transcriptome_aligned_once_%,46.39,45.15,33.57,31.0,26.99,39.6,53.85,37.18,54.88,63.32,56.18,53.99,63.48,51.27,51.44,18.88,35.03,39.91,30.07,25.24,36.05,49.53,35.9,36.24,49.19,33.46,32.95,51.97,56.73,57.33,57.35,7.79,51.03,55.67,32.54,53.76,50.51,34.83,37.16,32.17,44.97,52.09,46.04,44.73,34.9,40.58,43.46,39.05,47.96,33.18
transcriptome_aligned_many,2710986,3497222,1770456,341170,546004,3044627,3873872,1877931,3715173,8881908,4173642,2489451,2871647,2000478,3178543,3321771,3432947,1550763,2898100,2613196,6069766,5729387,2129182,2748781,924698,1625893,795016,2126142,5834353,8136250,4030336,5409968,6429359,3536961,4374682,3183828,6119026,2917914,1979735,2382480,664168,798062,3188593,3047753,2729371,3410395,473935,138406,181185,246628
